country,fifa_version,num_players,avg_overall,max_overall,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic,avg_attack_overall,avg_defense_overall
Afghanistan,17,1,54.0,54,69.0,52.0,44.0,58.0,18.0,48.0,54.0,54.0
Afghanistan,18,3,56.333333333333336,60,66.0,44.333333333333336,55.333333333333336,60.0,41.666666666666664,53.333333333333336,56.333333333333336,50.0
Afghanistan,19,3,60.666666666666664,63,71.66666666666667,49.0,54.0,61.0,50.333333333333336,57.0,60.666666666666664,60.5
Afghanistan,20,2,62.0,64,71.0,48.0,58.0,63.0,55.0,59.5,62.0,62.0
Afghanistan,21,2,66.0,68,80.5,53.5,57.0,68.5,46.0,50.5,64.0,68.0
Afghanistan,22,1,64.0,64,82.0,60.0,55.0,68.0,31.0,43.0,64.0,64.0
Afghanistan,23,1,63.0,63,80.0,50.0,58.0,65.0,58.0,63.0,63.0,63.0
Albania,15,14,69.85714285714286,77,68.16666666666667,59.666666666666664,60.75,65.08333333333333,53.166666666666664,68.0,68.8,70.5
Albania,16,14,70.92857142857143,75,69.92307692307692,61.38461538461539,64.6923076923077,66.15384615384616,56.53846153846154,71.07692307692308,70.6,71.0
Albania,17,14,72.14285714285714,79,73.07692307692308,58.69230769230769,62.61538461538461,67.3076923076923,56.46153846153846,71.0,71.25,72.875
Albania,18,14,73.14285714285714,79,69.5,60.416666666666664,64.25,67.58333333333333,56.333333333333336,70.66666666666667,71.66666666666667,74.125
Albania,19,14,72.57142857142857,81,73.08333333333333,57.333333333333336,65.0,69.83333333333333,61.0,68.83333333333333,70.0,73.77777777777777
Albania,20,14,73.0,82,64.83333333333333,53.416666666666664,61.833333333333336,65.08333333333333,61.75,71.75,70.5,73.9
Albania,21,14,72.28571428571429,83,63.5,50.916666666666664,59.25,62.333333333333336,63.166666666666664,73.16666666666667,69.0,73.27272727272727
Albania,22,14,73.92857142857143,80,67.75,50.0,59.0,64.58333333333333,61.75,72.66666666666667,72.0,74.45454545454545
Albania,23,14,74.42857142857143,79,72.16666666666667,56.5,61.166666666666664,68.75,57.0,70.91666666666667,73.6,74.88888888888889
Albania,24,14,74.5,78,71.0,56.916666666666664,63.25,69.66666666666667,61.083333333333336,71.08333333333333,74.75,74.4
Algeria,15,14,74.57142857142857,81,75.23076923076923,62.92307692307692,69.23076923076923,73.76923076923077,48.61538461538461,69.15384615384616,74.875,74.16666666666667
Algeria,16,14,76.57142857142857,81,72.21428571428571,64.57142857142857,69.14285714285714,73.42857142857143,54.642857142857146,71.0,77.28571428571429,75.625
Algeria,17,14,78.14285714285714,85,72.14285714285714,65.5,70.71428571428571,73.92857142857143,53.57142857142857,69.57142857142857,80.28571428571429,76.16666666666667
Algeria,18,14,78.42857142857143,83,74.21428571428571,68.57142857142857,72.92857142857143,77.5,49.285714285714285,68.57142857142857,78.0,77.4
Algeria,19,14,78.57142857142857,85,73.14285714285714,69.42857142857143,73.64285714285714,77.85714285714286,53.357142857142854,69.78571428571429,78.25,77.8
Algeria,20,14,77.85714285714286,84,74.64285714285714,69.14285714285714,73.07142857142857,77.5,55.42857142857143,70.0,77.9,77.5
Algeria,21,14,78.0,85,73.23076923076923,69.53846153846153,73.84615384615384,78.15384615384616,54.30769230769231,70.15384615384616,78.22222222222223,77.42857142857143
Algeria,22,14,78.28571428571429,86,73.84615384615384,67.6923076923077,75.07692307692308,78.0,53.30769230769231,68.84615384615384,79.2,77.85714285714286
Algeria,23,14,77.42857142857143,86,72.57142857142857,67.07142857142857,73.35714285714286,77.5,53.285714285714285,68.92857142857143,78.14285714285714,76.83333333333333
Algeria,24,14,77.35714285714286,86,71.0,67.5,74.14285714285714,78.0,61.785714285714285,70.14285714285714,78.57142857142857,77.0
Andorra,19,1,62.0,62,65.0,36.0,49.0,51.0,58.0,71.0,62.0,62.0
Andorra,21,1,62.0,62,61.0,36.0,51.0,53.0,59.0,71.0,62.0,62.0
Andorra,22,1,64.0,64,60.0,37.0,52.0,53.0,60.0,74.0,64.0,64.0
Andorra,23,1,62.0,62,,,,,,,62.0,62.0
Andorra,24,1,66.0,66,,,,,,,66.0,66.0
Angola,15,6,64.0,74,67.16666666666667,46.0,50.833333333333336,56.833333333333336,52.166666666666664,68.83333333333333,72.5,59.75
Angola,16,13,64.92307692307692,76,71.6923076923077,51.76923076923077,53.53846153846154,62.23076923076923,46.15384615384615,67.61538461538461,67.57142857142857,61.666666666666664
Angola,17,10,70.1,76,79.0,59.5,57.3,67.4,44.4,70.7,70.33333333333333,69.75
Angola,18,14,69.35714285714286,77,77.35714285714286,57.57142857142857,56.357142857142854,67.64285714285714,45.214285714285715,69.42857142857143,69.66666666666667,69.0
Angola,19,14,68.64285714285714,78,79.14285714285714,56.5,56.642857142857146,67.0,47.92857142857143,66.64285714285714,66.33333333333333,69.66666666666667
Angola,20,14,70.42857142857143,78,78.5,55.857142857142854,59.92857142857143,68.42857142857143,51.42857142857143,69.0,69.5,70.57142857142857
Angola,21,14,70.57142857142857,77,78.76923076923077,58.61538461538461,60.46153846153846,70.23076923076923,47.53846153846154,66.6923076923077,70.33333333333333,71.57142857142857
Angola,22,14,69.85714285714286,78,78.85714285714286,57.5,60.285714285714285,69.07142857142857,48.0,64.71428571428571,69.88888888888889,71.5
Angola,23,14,71.14285714285714,79,80.0,62.142857142857146,63.142857142857146,71.21428571428571,47.857142857142854,65.07142857142857,70.22222222222223,71.71428571428571
Angola,24,14,70.28571428571429,78,76.78571428571429,61.357142857142854,60.92857142857143,69.92857142857143,50.42857142857143,69.35714285714286,70.77777777777777,69.25
Antigua and Barbuda,15,4,59.5,68,75.0,46.0,49.75,61.5,45.5,63.25,62.0,57.0
Antigua and Barbuda,16,7,58.285714285714285,67,74.28571428571429,50.142857142857146,51.142857142857146,57.0,39.42857142857143,59.285714285714285,58.6,57.5
Antigua and Barbuda,17,6,58.666666666666664,67,75.16666666666667,51.166666666666664,49.833333333333336,58.666666666666664,35.5,56.5,59.0,59.0
Antigua and Barbuda,18,5,58.8,65,83.6,46.8,50.4,60.2,37.2,58.8,57.25,65.0
Antigua and Barbuda,19,4,62.5,68,83.25,48.25,53.25,62.0,44.75,68.0,64.0,63.0
Antigua and Barbuda,20,7,59.42857142857143,69,78.85714285714286,42.142857142857146,51.0,57.42857142857143,48.714285714285715,64.14285714285714,62.0,58.8
Antigua and Barbuda,21,4,62.0,71,76.5,43.75,51.75,57.75,52.25,67.75,65.0,62.333333333333336
Antigua and Barbuda,22,3,65.33333333333333,70,78.0,45.333333333333336,56.0,61.666666666666664,60.333333333333336,71.0,66.0,65.33333333333333
Antigua and Barbuda,23,3,64.0,68,80.5,47.0,56.5,62.0,58.5,71.5,68.0,64.0
Antigua and Barbuda,24,3,63.333333333333336,67,81.0,47.0,56.5,61.5,59.0,71.5,65.0,63.333333333333336
Argentina,15,14,83.42857142857143,93,76.14285714285714,70.5,73.92857142857143,78.5,55.142857142857146,72.35714285714286,85.42857142857143,81.33333333333333
Argentina,16,14,84.21428571428571,94,77.35714285714286,70.85714285714286,74.92857142857143,78.14285714285714,59.857142857142854,73.71428571428571,85.85714285714286,82.5
Argentina,17,14,85.64285714285714,93,75.85714285714286,71.35714285714286,74.42857142857143,78.14285714285714,55.357142857142854,72.35714285714286,86.75,84.0
Argentina,18,14,85.28571428571429,93,76.3076923076923,74.0,75.84615384615384,80.61538461538461,48.30769230769231,69.38461538461539,87.0,83.0
Argentina,19,14,85.28571428571429,94,71.35714285714286,73.57142857142857,75.35714285714286,80.07142857142857,52.642857142857146,69.21428571428571,86.2,83.0
Argentina,20,14,85.0,94,72.64285714285714,75.57142857142857,76.71428571428571,81.07142857142857,56.214285714285715,70.14285714285714,86.0,82.6
Argentina,21,14,85.07142857142857,93,78.76923076923077,80.0,78.76923076923077,85.38461538461539,51.61538461538461,70.53846153846153,85.9,83.0
Argentina,22,14,84.78571428571429,93,78.53846153846153,79.07692307692308,77.92307692307692,83.84615384615384,53.76923076923077,72.6923076923077,85.5,83.0
Argentina,23,14,83.92857142857143,91,78.54545454545455,75.45454545454545,79.36363636363636,83.9090909090909,59.0,73.0,85.0,82.66666666666667
Argentina,24,14,84.14285714285714,90,73.61538461538461,71.23076923076923,77.6923076923077,79.84615384615384,68.07692307692308,76.38461538461539,85.0,83.11111111111111
Armenia,15,6,73.0,81,78.0,72.8,63.0,75.8,34.8,64.0,75.75,70.0
Armenia,16,10,67.5,81,71.4,57.9,58.5,66.9,44.6,60.0,68.71428571428571,64.66666666666667
Armenia,17,9,69.22222222222223,85,67.88888888888889,61.22222222222222,55.888888888888886,64.88888888888889,44.0,64.77777777777777,70.25,67.0
Armenia,18,14,67.0,85,66.78571428571429,59.857142857142854,56.714285714285715,64.35714285714286,37.5,63.0,67.9,62.0
Armenia,19,8,69.375,84,71.0,64.625,60.375,69.875,37.75,61.625,70.28571428571429,63.0
Armenia,20,8,69.375,81,69.0,60.25,61.125,66.25,43.625,63.625,71.0,64.5
Armenia,21,3,68.66666666666667,74,69.0,58.0,56.666666666666664,67.66666666666667,42.0,68.0,70.0,66.0
Armenia,22,7,68.71428571428571,83,69.0,58.666666666666664,57.666666666666664,67.16666666666667,46.666666666666664,70.33333333333333,73.0,63.0
Armenia,23,8,70.625,81,70.5,65.0,63.125,70.875,43.375,66.375,72.33333333333333,65.0
Armenia,24,12,67.66666666666667,81,73.5,57.583333333333336,61.25,67.66666666666667,45.416666666666664,63.083333333333336,69.125,64.33333333333333
Aruba,16,1,65.0,65,75.0,55.0,65.0,67.0,64.0,70.0,65.0,65.0
Aruba,17,2,67.5,69,76.5,45.5,58.0,61.0,63.5,76.0,67.5,67.5
Aruba,21,1,68.0,68,86.0,61.0,61.0,71.0,30.0,47.0,68.0,68.0
Australia,15,14,72.0,76,71.88888888888889,63.55555555555556,65.33333333333333,68.22222222222223,53.77777777777778,69.11111111111111,71.6,72.22222222222223
Australia,16,14,73.07142857142857,78,71.33333333333333,62.888888888888886,66.33333333333333,67.11111111111111,56.111111111111114,70.0,72.2,73.55555555555556
Australia,17,14,74.07142857142857,79,69.8,64.2,67.4,67.8,55.9,71.7,73.2,74.375
Australia,18,14,74.14285714285714,77,73.1,65.0,66.1,69.5,54.0,71.9,73.66666666666667,74.77777777777777
Australia,19,14,74.35714285714286,79,70.8,61.3,65.5,69.1,63.6,72.3,75.5,74.36363636363636
Australia,20,14,73.78571428571429,80,69.9,60.1,64.4,67.6,64.7,73.5,73.5,73.81818181818181
Australia,21,14,73.21428571428571,80,77.0909090909091,63.72727272727273,66.18181818181819,69.81818181818181,57.72727272727273,70.36363636363636,72.85714285714286,73.57142857142857
Australia,22,14,73.0,77,67.75,61.333333333333336,64.25,67.33333333333333,61.583333333333336,75.08333333333333,73.6,72.85714285714286
Australia,23,14,73.14285714285714,78,72.16666666666667,63.5,65.41666666666667,69.33333333333333,59.666666666666664,74.0,73.33333333333333,72.71428571428571
Australia,24,14,72.85714285714286,78,71.07692307692308,60.15384615384615,62.92307692307692,67.6923076923077,60.76923076923077,75.6923076923077,71.75,72.83333333333333
Austria,15,14,75.57142857142857,82,70.21428571428571,62.857142857142854,63.5,66.35714285714286,58.57142857142857,73.85714285714286,74.33333333333333,76.25
Austria,16,14,77.21428571428571,85,70.92857142857143,59.714285714285715,68.85714285714286,68.07142857142857,69.85714285714286,76.28571428571429,76.66666666666667,77.36363636363636
Austria,17,14,77.85714285714286,87,71.07692307692308,61.69230769230769,68.38461538461539,69.61538461538461,62.30769230769231,73.76923076923077,77.0,78.5
Austria,18,14,78.28571428571429,86,70.92307692307692,62.61538461538461,69.0,70.15384615384616,63.30769230769231,77.46153846153847,78.33333333333333,78.11111111111111
Austria,19,14,78.57142857142857,85,72.0,69.64285714285714,71.28571428571429,74.42857142857143,59.642857142857146,75.14285714285714,78.55555555555556,78.33333333333333
Austria,20,14,78.71428571428571,85,72.64285714285714,67.57142857142857,72.14285714285714,74.57142857142857,62.285714285714285,74.78571428571429,78.42857142857143,78.75
Austria,21,14,78.71428571428571,84,73.53846153846153,65.3076923076923,72.61538461538461,73.38461538461539,68.53846153846153,73.3076923076923,78.5,78.36363636363636
Austria,22,14,79.35714285714286,84,72.21428571428571,65.85714285714286,72.71428571428571,74.0,68.64285714285714,74.64285714285714,79.4,79.54545454545455
Austria,23,14,79.07142857142857,86,73.21428571428571,66.07142857142857,72.42857142857143,74.5,67.0,75.57142857142857,79.0,79.3
Austria,24,14,79.64285714285714,85,71.92857142857143,63.357142857142854,71.0,72.71428571428571,64.57142857142857,75.35714285714286,78.71428571428571,80.5
Azerbaijan,15,2,61.0,62,72.5,55.5,57.0,62.5,51.5,69.0,61.0,60.0
Azerbaijan,16,5,63.8,69,74.0,57.0,59.0,67.5,49.75,70.0,67.5,63.333333333333336
Azerbaijan,17,9,64.66666666666667,68,69.0,53.875,57.125,64.125,47.5,65.375,63.8,66.2
Azerbaijan,18,7,64.28571428571429,70,68.85714285714286,59.714285714285715,55.142857142857146,63.0,41.0,67.85714285714286,64.4,64.66666666666667
Azerbaijan,19,5,63.2,68,69.4,57.8,54.2,62.2,42.6,67.2,63.25,65.0
Azerbaijan,20,6,62.833333333333336,70,66.83333333333333,55.333333333333336,54.666666666666664,60.333333333333336,40.333333333333336,64.5,61.4,66.0
Azerbaijan,21,6,60.833333333333336,68,66.33333333333333,50.166666666666664,53.833333333333336,61.333333333333336,46.5,58.5,59.75,62.333333333333336
Azerbaijan,22,8,62.875,68,69.75,52.75,53.0,62.0,44.875,58.75,66.33333333333333,60.8
Azerbaijan,23,7,64.42857142857143,69,70.57142857142857,57.42857142857143,56.857142857142854,64.42857142857143,43.42857142857143,59.857142857142854,67.0,63.333333333333336
Azerbaijan,24,6,65.83333333333333,71,71.4,57.4,50.8,63.0,35.0,63.8,65.0,70.5
Bahrain,15,1,68.0,68,62.0,34.0,36.0,38.0,71.0,77.0,68.0,68.0
Bahrain,16,1,72.0,72,67.0,40.0,37.0,39.0,74.0,75.0,72.0,72.0
Bahrain,19,1,54.0,54,63.0,40.0,50.0,58.0,48.0,56.0,54.0,54.0
Bahrain,20,1,72.0,72,74.0,68.0,52.0,71.0,38.0,71.0,72.0,72.0
Barbados,15,2,65.5,70,75.0,58.0,53.5,63.5,49.0,67.5,61.0,70.0
Barbados,16,2,65.5,66,70.5,59.0,55.5,65.5,48.5,71.5,66.0,65.0
Barbados,17,1,67.0,67,90.0,63.0,54.0,69.0,28.0,66.0,67.0,67.0
Barbados,18,1,65.0,65,90.0,61.0,54.0,65.0,28.0,70.0,65.0,65.0
Barbados,19,1,64.0,64,80.0,61.0,54.0,64.0,29.0,72.0,64.0,64.0
Barbados,20,1,64.0,64,78.0,60.0,54.0,64.0,29.0,71.0,64.0,64.0
Barbados,21,1,61.0,61,73.0,60.0,51.0,60.0,22.0,59.0,61.0,61.0
Barbados,22,1,62.0,62,73.0,60.0,56.0,62.0,30.0,59.0,62.0,62.0
Barbados,23,1,54.0,54,58.0,49.0,52.0,48.0,48.0,56.0,54.0,54.0
Belarus,15,14,67.28571428571429,73,63.63636363636363,52.18181818181818,63.18181818181818,61.0,52.45454545454545,64.45454545454545,71.0,65.375
Belarus,16,14,67.78571428571429,73,63.30769230769231,53.30769230769231,62.07692307692308,60.15384615384615,56.23076923076923,65.92307692307692,68.66666666666667,67.2
Belarus,17,14,68.64285714285714,74,63.333333333333336,54.416666666666664,61.583333333333336,61.916666666666664,56.083333333333336,67.75,70.0,68.77777777777777
