group,team
A,Mexico
A,South_Africa
A,South_Korea
A,Czech_Republic
B,Canada
B,Bosnia_Herzegovina
B,Qatar
B,Switzerland
C,Brazil
C,Morocco
C,Haiti
C,Scotland
D,United_States
D,Paraguay
D,Australia
D,Turkey
E,Germany
E,Curacao
E,Ivory_Coast
E,Ecuador
F,Netherlands
F,Japan
F,Sweden
F,Tunisia
G,Belgium
G,Egypt
G,Iran
G,New_Zealand
H,Spain
H,Cape_Verde
H,Saudi_Arabia
H,Uruguay
I,France
I,Senegal
I,Iraq
I,Norway
J,Argentina
J,Algeria
J,Austria
J,Jordan
K,Portugal
K,DR_Congo
K,Uzbekistan
K,Colombia
L,England
L,Croatia
L,Ghana
L,Panama
